outcome,month,mmwr_week,age_group,vaccination_status,vaccinated_with_outcome,vaccinated_population,unvaccinated_with_outcome,unvaccinated_population,crude_vax_ir,crude_unvax_ir,crude_irr,age_adj_vax_ir,age_adj_unvax_ir,age_adj_irr,monthly_age_adj_vax_ir,monthly_age_adj_unvax_ir,monthly_age_adj_irr,monthly_age_adj_mb_irr,continuity_correction
case,OCT 2021,202140,12-17,vaccinated,2595,5502253,25319,6084067,47.16249871,416.1525506,8.823802004,,,,,,,,0
case,OCT 2021,202140,12-17,vax with updated booster,,,25319,6084067,,416.1525506,,,,,,,,,0
case,OCT 2021,202140,18-29,vaccinated,10418,13690510,41046,11487039,76.09650773,357.3244593,4.695674874,,,,,,,,0
case,OCT 2021,202140,18-29,vax with updated booster,,,41046,11487039,,357.3244593,,,,,,,,,0
case,OCT 2021,202140,30-49,vaccinated,27314,26197185,62379,13548817,104.2631107,460.4018196,4.415769072,,,,,,,,0
case,OCT 2021,202140,30-49,vax with updated booster,,,62379,13548817,,460.4018196,,,,,,,,,0
case,OCT 2021,202140,50-64,vaccinated,20410,22536239,29761,6903760,90.56524472,431.0839311,4.759926751,,,,,,,,0
case,OCT 2021,202140,50-64,vax with updated booster,,,29761,6903760,,431.0839311,,,,,,,,,0
case,OCT 2021,202140,65-79,vaccinated,15024,16871429.1,12992,2008825.3,89.04995487,646.7461357,7.262734008,,,,,,,,1
case,OCT 2021,202140,65-79,vax with updated booster,,,12992,2008825.3,,646.7461357,,,,,,,,,1
case,OCT 2021,202140,80+,vaccinated,4872,4876699,3340,935930.85,99.90364384,356.8639713,3.572081634,,,,,,,,1
case,OCT 2021,202140,80+,vax with updated booster,,,3340,935930.85,,356.8639713,,,,,,,,,1
case,OCT 2021,202140,all_ages,vaccinated,78038,84172062.1,149518,34884372.15,,,,93.31612507,450.9434451,4.832427887,83.8169426,393.5020604,4.694779458,,1
case,OCT 2021,202140,all_ages,vax with updated booster,,,149518,34884372.15,,,,,450.9434451,,,393.5020604,,,1
case,OCT 2021,202141,12-17,vaccinated,2229,5648249,20622,6012768,39.46355764,342.9701595,8.690806911,,,,,,,,0
case,OCT 2021,202141,12-17,vax with updated booster,,,20622,6012768,,342.9701595,,,,,,,,,0
case,OCT 2021,202141,18-29,vaccinated,9657,13931780,34573,11335391,69.31634005,305.0005068,4.400124222,,,,,,,,0
case,OCT 2021,202141,18-29,vax with updated booster,,,34573,11335391,,305.0005068,,,,,,,,,0
case,OCT 2021,202141,30-49,vaccinated,24909,26553223,52929,13327388,93.80782137,397.1445868,4.233597806,,,,,,,,0
case,OCT 2021,202141,30-49,vax with updated booster,,,52929,13327388,,397.1445868,,,,,,,,,0
case,OCT 2021,202141,50-64,vaccinated,18936,22713229,26045,6790490,83.36991627,383.5511134,4.600593722,,,,,,,,0
case,OCT 2021,202141,50-64,vax with updated booster,,,26045,6790490,,383.5511134,,,,,,,,,0
case,OCT 2021,202141,65-79,vaccinated,13305,16943239.1,11793,1944307,78.52689749,606.5400166,7.723977846,,,,,,,,1
case,OCT 2021,202141,65-79,vax with updated booster,,,11793,1944307,,606.5400166,,,,,,,,,1
case,OCT 2021,202141,80+,vaccinated,4471,4893626,3104,911969.85,91.36374541,340.3621293,3.725352193,,,,,,,,1
case,OCT 2021,202141,80+,vax with updated booster,,,3104,911969.85,,340.3621293,,,,,,,,,1
case,OCT 2021,202141,all_ages,vaccinated,71278,85035097.1,128444,34309545.85,,,,84.38993556,398.2118977,4.718713139,83.8169426,393.5020604,4.694779458,,1
case,OCT 2021,202141,all_ages,vax with updated booster,,,128444,34309545.85,,,,,398.2118977,,,393.5020604,,,1
case,OCT 2021,202142,12-17,vaccinated,2236,5771628,17420,5952701,38.74123558,292.6402653,7.553715336,,,,,,,,0
case,OCT 2021,202142,12-17,vax with updated booster,,,17420,5952701,,292.6402653,,,,,,,,,0
case,OCT 2021,202142,18-29,vaccinated,8733,14153641,30822,11195127,61.70143781,275.3162157,4.462071314,,,,,,,,0
case,OCT 2021,202142,18-29,vax with updated booster,,,30822,11195127,,275.3162157,,,,,,,,,0
case,OCT 2021,202142,30-49,vaccinated,23460,26889766,47033,13120828,87.24508796,358.4606093,4.108662364,,,,,,,,0
case,OCT 2021,202142,30-49,vax with updated booster,,,47033,13120828,,358.4606093,,,,,,,,,0
case,OCT 2021,202142,50-64,vaccinated,17726,22878712,22799,6681982,77.47813776,341.2011586,4.403837889,,,,,,,,0
case,OCT 2021,202142,50-64,vax with updated booster,,,22799,6681982,,341.2011586,,,,,,,,,0
case,OCT 2021,202142,65-79,vaccinated,11935,17012922.1,10344,1911779.3,70.15255774,541.0666388,7.71271435,,,,,,,,1
case,OCT 2021,202142,65-79,vax with updated booster,,,10344,1911779.3,,541.0666388,,,,,,,,,1
case,OCT 2021,202142,80+,vaccinated,3978,4910821,2706,891562.85,81.00478515,303.5119734,3.746840052,,,,,,,,1
case,OCT 2021,202142,80+,vax with updated booster,,,2706,891562.85,,303.5119734,,,,,,,,,1
case,OCT 2021,202142,all_ages,vaccinated,65832,85845862.1,113704,33801279.15,,,,77.33812764,357.4536222,4.621958575,83.8169426,393.5020604,4.694779458,,1
case,OCT 2021,202142,all_ages,vax with updated booster,,,113704,33801279.15,,,,,357.4536222,,,393.5020604,,,1
case,OCT 2021,202143,12-17,vaccinated,2226,5871481,17549,5897576,37.91207023,297.5629309,7.848765028,,,,,,,,0
case,OCT 2021,202143,12-17,vax with updated booster,,,17549,5897576,,297.5629309,,,,,,,,,0
case,OCT 2021,202143,18-29,vaccinated,9563,14343545,31838,11057525,66.67110536,287.9306174,4.318671722,,,,,,,,0
case,OCT 2021,202143,18-29,vax with updated booster,,,31838,11057525,,287.9306174,,,,,,,,,0
case,OCT 2021,202143,30-49,vaccinated,24712,27171820,46858,12899626,90.94716511,363.2508415,3.994086469,,,,,,,,0
case,OCT 2021,202143,30-49,vax with updated booster,,,46858,12899626,,363.2508415,,,,,,,,,0
case,OCT 2021,202143,50-64,vaccinated,18527,23018025,22918,6542190,80.48909496,350.3108286,4.352276899,,,,,,,,0
case,OCT 2021,202143,50-64,vax with updated booster,,,22918,6542190,,350.3108286,,,,,,,,,0
case,OCT 2021,202143,65-79,vaccinated,11739,17071135.1,10003,1852888.85,68.76519886,539.8596899,7.850768976,,,,,,,,1
case,OCT 2021,202143,65-79,vax with updated booster,,,10003,1852888.85,,539.8596899,,,,,,,,,1
case,OCT 2021,202143,80+,vaccinated,4085,4926088,2766,852835.85,82.92584298,324.3297054,3.911081199,,,,,,,,1
case,OCT 2021,202143,80+,vax with updated booster,,,2766,852835.85,,324.3297054,,,,,,,,,1
case,OCT 2021,202143,all_ages,vaccinated,68626,86530613.1,114383,33205065.7,,,,80.45613619,364.7730625,4.53381283,83.8169426,393.5020604,4.694779458,,1
case,OCT 2021,202143,all_ages,vax with updated booster,,,114383,33205065.7,,,,,364.7730625,,,393.5020604,,,1
case,NOV 2021,202144,12-17,vaccinated,2764,5953088,18182,5845630,46.4296849,311.0357652,6.699071206,,,,,,,,0
case,NOV 2021,202144,12-17,vax with updated booster,,,18182,5845630,,311.0357652,,,,,,,,,0
case,NOV 2021,202144,18-29,vaccinated,12762,14509255,33299,10923535,87.95765186,304.8372162,3.465727083,,,,,,,,0
case,NOV 2021,202144,18-29,vax with updated booster,,,33299,10923535,,304.8372162,,,,,,,,,0
case,NOV 2021,202144,30-49,vaccinated,28542,27425217,47929,12678162,104.0721027,378.0437574,3.632517722,,,,,,,,0
case,NOV 2021,202144,30-49,vax with updated booster,,,47929,12678162,,378.0437574,,,,,,,,,0
case,NOV 2021,202144,50-64,vaccinated,19987,23141580,22987,6396795,86.3683465,359.3518317,4.160689028,,,,,,,,0
case,NOV 2021,202144,50-64,vax with updated booster,,,22987,6396795,,359.3518317,,,,,,,,,0
case,NOV 2021,202144,65-79,vaccinated,11685,17126208.1,9639,1799885.85,68.22876338,535.5339618,7.849093773,,,,,,,,1
case,NOV 2021,202144,65-79,vax with updated booster,,,9639,1799885.85,,535.5339618,,,,,,,,,1
case,NOV 2021,202144,80+,vaccinated,4129,4940863,2631,826662.05,83.56839686,318.2679065,3.808472083,,,,,,,,1
case,NOV 2021,202144,80+,vax with updated booster,,,2631,826662.05,,318.2679065,,,,,,,,,1
case,NOV 2021,202144,all_ages,vaccinated,77105,87143123.1,116485,32625039.9,,,,91.60489405,375.5265993,4.099416338,102.5360368,433.1542816,4.224410217,,1
case,NOV 2021,202144,all_ages,vax with updated booster,,,116485,32625039.9,,,,,375.5265993,,,433.1542816,,,1
case,NOV 2021,202145,12-17,vaccinated,3211,6021218,20656,5770213,53.3280808,357.9763867,6.712718352,,,,,,,,0
case,NOV 2021,202145,12-17,vax with updated booster,,,20656,5770213,,357.9763867,,,,,,,,,0
case,NOV 2021,202145,18-29,vaccinated,13711,14652797,36576,10795151,93.57257867,338.81879,3.620919663,,,,,,,,0
case,NOV 2021,202145,18-29,vax with updated booster,,,36576,10795151,,338.81879,,,,,,,,,0
case,NOV 2021,202145,30-49,vaccinated,33629,27653471,54456,12473434,121.6086039,436.5758459,3.590007878,,,,,,,,0
case,NOV 2021,202145,30-49,vax with updated booster,,,54456,12473434,,436.5758459,,,,,,,,,0
case,NOV 2021,202145,50-64,vaccinated,23368,23258300,26300,6269403.9,100.4716596,419.4976176,4.175283054,,,,,,,,1
case,NOV 2021,202145,50-64,vax with updated booster,,,26300,6269403.9,,419.4976176,,,,,,,,,1
case,NOV 2021,202145,65-79,vaccinated,12456,17199853.1,10676,1759755.85,72.41922316,606.675068,8.377265614,,,,,,,,1
case,NOV 2021,202145,65-79,vax with updated booster,,,10676,1759755.85,,606.675068,,,,,,,,,1
case,NOV 2021,202145,80+,vaccinated,4494,4961970,2948,807001.05,90.5688668,365.3031183,4.033429269,,,,,,,,1
case,NOV 2021,202145,80+,vax with updated booster,,,2948,807001.05,,365.3031183,,,,,,,,,1
case,NOV 2021,202145,all_ages,vaccinated,87658,87726391.1,130956,32104745.8,,,,103.7295735,430.1518104,4.146857987,102.5360368,433.1542816,4.224410217,,1
case,NOV 2021,202145,all_ages,vax with updated booster,,,130956,32104745.8,,,,,430.1518104,,,433.1542816,,,1
case,NOV 2021,202146,12-17,vaccinated,3653,6077760,21809,5683808,60.10438056,383.7040238,6.383961039,,,,,,,,0
case,NOV 2021,202146,12-17,vax with updated booster,,,21809,5683808,,383.7040238,,,,,,,,,0
case,NOV 2021,202146,18-29,vaccinated,14813,14779847,38359,10660108,100.2243122,359.8368797,3.590315282,,,,,,,,0
case,NOV 2021,202146,18-29,vax with updated booster,,,38359,10660108,,359.8368797,,,,,,,,,0
case,NOV 2021,202146,30-49,vaccinated,36889,27860056,59049,12254265,132.4082048,481.8648854,3.639237359,,,,,,,,0
case,NOV 2021,202146,30-49,vax with updated booster,,,59049,12254265,,481.8648854,,,,,,,,,0
case,NOV 2021,202146,50-64,vaccinated,26294,23366271,29751,6133944.9,112.5297229,485.0222897,4.31017048,,,,,,,,1
case,NOV 2021,202146,50-64,vax with updated booster,,,29751,6133944.9,,485.0222897,,,,,,,,,1
case,NOV 2021,202146,65-79,vaccinated,13564,17267921.1,12298,1720235.85,78.55027783,714.9019711,9.101202324,,,,,,,,1
case,NOV 2021,202146,65-79,vax with updated booster,,,12298,1720235.85,,714.9019711,,,,,,,,,1
case,NOV 2021,202146,80+,vaccinated,4562,4982989,3470,788141.05,91.55147643,440.2765216,4.809059763,,,,,,,,1
case,NOV 2021,202146,80+,vax with updated booster,,,3470,788141.05,,440.2765216,,,,,,,,,1
case,NOV 2021,202146,all_ages,vaccinated,96122,88257084.1,142927,31556694.8,,,,112.8623102,483.5149934,4.284113912,102.5360368,433.1542816,4.224410217,,1
case,NOV 2021,202146,all_ages,vax with updated booster,,,142927,31556694.8,,,,,483.5149934,,,433.1542816,,,1
case,NOV 2021,202147,12-17,vaccinated,3014,6129124,15796,5602917,49.1750534,281.9245761,5.733081239,,,,,,,,0
case,NOV 2021,202147,12-17,vax with updated booster,,,15796,5602917,,281.9245761,,,,,,,,,0
case,NOV 2021,202147,18-29,vaccinated,13257,14893642,33003,10507321,89.01113643,314.0952865,3.52871898,,,,,,,,0
case,NOV 2021,202147,18-29,vax with updated booster,,,33003,10507321,,314.0952865,,,,,,,,,0
case,NOV 2021,202147,30-49,vaccinated,33725,28041202,52477,12018118,120.2694521,436.649066,3.630589967,,,,,,,,0
case,NOV 2021,202147,30-49,vax with updated booster,,,52477,12018118,,436.649066,,,,,,,,,0
case,NOV 2021,202147,50-64,vaccinated,23807,23460718,26991,5978650.9,101.4760077,451.4563645,4.448897575,,,,,,,,1
case,NOV 2021,202147,50-64,vax with updated booster,,,26991,5978650.9,,451.4563645,,,,,,,,,1
case,NOV 2021,202147,65-79,vaccinated,12124,17318552.7,11781,1685126.85,70.00584985,699.1165086,9.986544126,,,,,,,,1
case,NOV 2021,202147,65-79,vax with updated booster,,,11781,1685126.85,,699.1165086,,,,,,,,,1
case,NOV 2021,202147,80+,vaccinated,4211,4999835,3367,771864.05,84.22277935,436.2167146,5.17931987,,,,,,,,1
case,NOV 2021,202147,80+,vax with updated booster,,,3367,771864.05,,436.2167146,,,,,,,,,1
case,NOV 2021,202147,all_ages,vaccinated,87124,88713949.7,127619,30961080.8,,,,101.8090895,446.077357,4.381508168,102.5360368,433.1542816,4.224410217,,1
case,NOV 2021,202147,all_ages,vax with updated booster,,,127619,30961080.8,,,,,446.077357,,,433.1542816,,,1
case,DEC 2021,202148,12-17,vaccinated,5189,6175544,26998,5553640,84.0249863,486.1316182,5.785560219,,,,,,,,0
case,DEC 2021,202148,12-17,vax with updated booster,,,26998,5553640,,486.1316182,,,,,,,,,0
case,DEC 2021,202148,18-29,vaccinated,22825,15001364,54697,10387087,152.1528309,526.5865204,3.460905178,,,,,,,,0
case,DEC 2021,202148,18-29,vax with updated booster,,,54697,10387087,,526.5865204,,,,,,,,,0
case,DEC 2021,202148,30-49,vaccinated,50277,28214676,78311,11828224,178.1944971,662.0689632,3.715428782,,,,,,,,0
case,DEC 2021,202148,30-49,vax with updated booster,,,78311,11828224,,662.0689632,,,,,,,,,0
case,DEC 2021,202148,50-64,vaccinated,35004,23554555,38955,5849243.9,148.6081991,665.9835128,4.481472198,,,,,,,,1
case,DEC 2021,202148,50-64,vax with updated booster,,,38955,5849243.9,,665.9835128,,,,,,,,,1
case,DEC 2021,202148,65-79,vaccinated,16880,17364937.7,15958,1659944.85,97.20737437,961.3572403,9.889756271,,,,,,,,1
case,DEC 2021,202148,65-79,vax with updated booster,,,15958,1659944.85,,961.3572403,,,,,,,,,1
case,DEC 2021,202148,80+,vaccinated,5482,5015960,4248,761200.05,109.2911427,558.0661746,5.106234238,,,,,,,,1
case,DEC 2021,202148,80+,vax with updated booster,,,4248,761200.05,,558.0661746,,,,,,,,,1
case,DEC 2021,202148,all_ages,vaccinated,130468,89151492.7,192169,30485699.8,,,,153.3519705,666.4685857,4.346006013,418.6554194,1148.488654,2.743279082,,1
case,DEC 2021,202148,all_ages,vax with updated booster,,,192169,30485699.8,,,,,666.4685857,,,1148.488654,,,1
case,DEC 2021,202149,12-17,vaccinated,5301,6219363,25215,5486915,85.23380931,459.5478516,5.39161461,,,,,,,,0
case,DEC 2021,202149,12-17,vax with updated booster,,,25215,5486915,,459.5478516,,,,,,,,,0
case,DEC 2021,202149,18-29,vaccinated,21671,15103939,47854,10219208,143.4791282,468.2750366,3.263715374,,,,,,,,0
case,DEC 2021,202149,18-29,vax with updated booster,,,47854,10219208,,468.2750366,,,,,,,,,0
case,DEC 2021,202149,30-49,vaccinated,44360,28374952,70208,11565629,156.3350662,607.0400494,3.88294235,,,,,,,,0
case,DEC 2021,202149,30-49,vax with updated booster,,,70208,11565629,,607.0400494,,,,,,,,,0
case,DEC 2021,202149,5-11,vaccinated,29,46663,35852,12136716,62.14774018,295.4011612,4.753208409,,,,,,,,0
case,DEC 2021,202149,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,DEC 2021,202149,50-64,vaccinated,31166,23642686,36646,5674620.9,131.8208938,645.7876331,4.898977807,,,,,,,,1
case,DEC 2021,202149,50-64,vax with updated booster,,,36646,5674620.9,,645.7876331,,,,,,,,,1
case,DEC 2021,202149,65-79,vaccinated,14275,17404650.7,15388,1626497.85,82.0183079,946.0817916,11.53500744,,,,,,,,1
case,DEC 2021,202149,65-79,vax with updated booster,,,15388,1626497.85,,946.0817916,,,,,,,,,1
case,DEC 2021,202149,80+,vaccinated,4634,5028149,4152,747339.05,92.16115115,555.5711293,6.028257269,,,,,,,,1
case,DEC 2021,202149,80+,vax with updated booster,,,4152,747339.05,,555.5711293,,,,,,,,,1
case,DEC 2021,202149,all_ages,vaccinated,116106,89554376.7,174248,29833294.8,,,,136.4106221,625.1120422,4.582575993,418.6554194,1148.488654,2.743279082,,1
case,DEC 2021,202149,all_ages,vax with updated booster,,,174248,29833294.8,,,,,625.1120422,,,1148.488654,,,1
case,DEC 2021,202150,12-17,vaccinated,12348,6273687,30892,5420310,196.8220601,569.9305021,2.895663737,,,,,,,,0
case,DEC 2021,202150,12-17,vax with updated booster,,,30892,5420310,,569.9305021,,,,,,,,,0
case,DEC 2021,202150,18-29,vaccinated,54392,15185371,69097,10055494,358.1868365,687.1566926,1.918430893,,,,,,,,0
case,DEC 2021,202150,18-29,vax with updated booster,,,69097,10055494,,687.1566926,,,,,,,,,0
case,DEC 2021,202150,30-49,vaccinated,79277,28504464,88332,11335081.1,278.1213497,779.2798236,2.801941758,,,,,,,,1
case,DEC 2021,202150,30-49,vax with updated booster,,,88332,11335081.1,,779.2798236,,,,,,,,,1
case,DEC 2021,202150,5-11,vaccinated,525,509883,42442,11857430,102.9647978,357.9359102,3.476294014,,,,,,,,0
case,DEC 2021,202150,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,DEC 2021,202150,50-64,vaccinated,40903,23717244,39183,5522920.9,172.4610161,709.461546,4.113750237,,,,,,,,1
case,DEC 2021,202150,50-64,vax with updated booster,,,39183,5522920.9,,709.461546,,,,,,,,,1
case,DEC 2021,202150,65-79,vaccinated,16563,17435335.7,15254,1600439.85,94.996737,953.1129833,10.03311286,,,,,,,,1
case,DEC 2021,202150,65-79,vax with updated booster,,,15254,1600439.85,,953.1129833,,,,,,,,,1
case,DEC 2021,202150,80+,vaccinated,4571,5037806,3983,736510.05,90.73394251,540.7937068,5.960213915,,,,,,,,1
case,DEC 2021,202150,80+,vax with updated booster,,,3983,736510.05,,540.7937068,,,,,,,,,1
case,DEC 2021,202150,all_ages,vaccinated,195706,89880220.7,215849,29250445.9,,,,242.6760728,756.3706334,3.116791139,418.6554194,1148.488654,2.743279082,,1
case,DEC 2021,202150,all_ages,vax with updated booster,,,215849,29250445.9,,,,,756.3706334,,,1148.488654,,,1
case,DEC 2021,202151,12-17,vaccinated,30765,6348017,41103,5338796,484.6395339,769.8926874,1.588588288,,,,,,,,0
case,DEC 2021,202151,12-17,vax with updated booster,,,41103,5338796,,769.8926874,,,,,,,,,0
case,DEC 2021,202151,18-29,vaccinated,112731,15289047,118948,9846768,737.3317644,1207.990277,1.638326646,,,,,,,,0
case,DEC 2021,202151,18-29,vax with updated booster,,,118948,9846768,,1207.990277,,,,,,,,,0
case,DEC 2021,202151,30-49,vaccinated,168506,28666144,145908,11091527.1,587.8223454,1315.490632,2.237905113,,,,,,,,1
case,DEC 2021,202151,30-49,vax with updated booster,,,145908,11091527.1,,1315.490632,,,,,,,,,1
case,DEC 2021,202151,5-11,vaccinated,3038,1238169,52240,11576066,245.3623051,451.2759343,1.839222753,,,,,,,,0
case,DEC 2021,202151,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,DEC 2021,202151,50-64,vaccinated,83646,23811962,55989,5363126.25,351.2772278,1043.961999,2.971903432,,,,,,,,1
case,DEC 2021,202151,50-64,vax with updated booster,,,55989,5363126.25,,1043.961999,,,,,,,,,1
case,DEC 2021,202151,65-79,vaccinated,29310,17475786.7,19819,1573214.3,167.7177715,1259.777514,7.511294141,,,,,,,,1
case,DEC 2021,202151,65-79,vax with updated booster,,,19819,1573214.3,,1259.777514,,,,,,,,,1
case,DEC 2021,202151,80+,vaccinated,6786,5049872,5247,725690.05,134.3796437,723.0359573,5.380546766,,,,,,,,1
case,DEC 2021,202151,80+,vax with updated booster,,,5247,725690.05,,723.0359573,,,,,,,,,1
case,DEC 2021,202151,all_ages,vaccinated,400979,90292811.7,345911,28600325.7,,,,499.2592253,1203.835867,2.411244111,418.6554194,1148.488654,2.743279082,,1
case,DEC 2021,202151,all_ages,vax with updated booster,,,345911,28600325.7,,,,,1203.835867,,,1148.488654,,,1
case,DEC 2021,202152,12-17,vaccinated,56908,6411567,66443,5274267,887.5833318,1259.757991,1.419312357,,,,,,,,0
case,DEC 2021,202152,12-17,vax with updated booster,,,66443,5274267,,1259.757991,,,,,,,,,0
case,DEC 2021,202152,18-29,vaccinated,213254,15389474,241002,9676251,1385.713378,2490.654697,1.797380856,,,,,,,,0
case,DEC 2021,202152,18-29,vax with updated booster,,,241002,9676251,,2490.654697,,,,,,,,,0
case,DEC 2021,202152,30-49,vaccinated,349954,28811375,300425,10904011.1,1214.638316,2755.17878,2.268312093,,,,,,,,1
case,DEC 2021,202152,30-49,vax with updated booster,,,300425,10904011.1,,2755.17878,,,,,,,,,1
case,DEC 2021,202152,5-11,vaccinated,10960,1735275,93159,11373283,631.6001786,819.1038595,1.296870848,,,,,,,,0
case,DEC 2021,202152,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,DEC 2021,202152,50-64,vaccinated,206352,23894337,125729,5251330.25,863.6021163,2394.231443,2.772377924,,,,,,,,1
case,DEC 2021,202152,50-64,vax with updated booster,,,125729,5251330.25,,2394.231443,,,,,,,,,1
case,DEC 2021,202152,65-79,vaccinated,81906,17508854.7,43652,1556783.3,467.7975882,2803.986913,5.994017465,,,,,,,,1
case,DEC 2021,202152,65-79,vax with updated booster,,,43652,1556783.3,,2803.986913,,,,,,,,,1
case,DEC 2021,202152,80+,vaccinated,20366,5059383,11243,719410.05,402.5392029,1562.808304,3.882375412,,,,,,,,1
case,DEC 2021,202152,80+,vax with updated booster,,,11243,719410.05,,1562.808304,,,,,,,,,1
case,DEC 2021,202152,all_ages,vaccinated,871832,90663423.7,722051,28107785.7,,,,1050.529481,2577.725774,2.453739586,418.6554194,1148.488654,2.743279082,,1
case,DEC 2021,202152,all_ages,vax with updated booster,,,722051,28107785.7,,,,,2577.725774,,,1148.488654,,,1
case,JAN 2022,202201,12-17,vaccinated,97109,6744989,114938,5432930,1439.720658,2115.580359,1.46943808,,,,,,,,0
case,JAN 2022,202201,12-17,vax with updated booster,,,114938,5432930,,2115.580359,,,,,,,,,0
case,JAN 2022,202201,18-29,vaccinated,293656,16093548,315755,10021360,1824.681543,3150.819849,1.726777947,,,,,,,,0
case,JAN 2022,202201,18-29,vax with updated booster,,,315755,10021360,,3150.819849,,,,,,,,,0
case,JAN 2022,202201,30-49,vaccinated,452301,30014697,384147,11322990.1,1506.931754,3392.628596,2.251348534,,,,,,,,1
case,JAN 2022,202201,30-49,vax with updated booster,,,384147,11322990.1,,3392.628596,,,,,,,,,1
case,JAN 2022,202201,5-11,vaccinated,23057,2061358,161639,11649476,1118.534481,1387.521636,1.240481773,,,,,,,,0
case,JAN 2022,202201,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,JAN 2022,202201,50-64,vaccinated,272855,24881053,171230,5438982.65,1096.63767,3148.199048,2.870774124,,,,,,,,1
case,JAN 2022,202201,50-64,vax with updated booster,,,171230,5438982.65,,3148.199048,,,,,,,,,1
case,JAN 2022,202201,65-79,vaccinated,110838,18357171.7,60456,1650772.3,603.7858218,3662.285828,6.065537971,,,,,,,,1
case,JAN 2022,202201,65-79,vax with updated booster,,,60456,1650772.3,,3662.285828,,,,,,,,,1
case,JAN 2022,202201,80+,vaccinated,30025,5293112,16907,772154.1,567.2466405,2189.58884,3.86002963,,,,,,,,1
case,JAN 2022,202201,80+,vax with updated booster,,,16907,772154.1,,2189.58884,,,,,,,,,1
case,JAN 2022,202201,all_ages,vaccinated,1159675,94639581.7,948495,29206259.15,,,,1337.171856,3270.818377,2.446071806,941.1406264,2577.851086,2.739071094,,1
case,JAN 2022,202201,all_ages,vax with updated booster,,,948495,29206259.15,,,,,3270.818377,,,2577.851086,,,1
case,JAN 2022,202202,12-17,vaccinated,103648,6793182,139915,5330908,1525.765098,2624.599787,1.720186017,,,,,,,,0
case,JAN 2022,202202,12-17,vax with updated booster,,,139915,5330908,,2624.599787,,,,,,,,,0
case,JAN 2022,202202,18-29,vaccinated,213811,16177415,255835,9816406,1321.663566,2606.198236,1.971907453,,,,,,,,0
case,JAN 2022,202202,18-29,vax with updated booster,,,255835,9816406,,2606.198236,,,,,,,,,0
case,JAN 2022,202202,30-49,vaccinated,378174,30124862,336801,11091017.1,1255.355128,3036.700755,2.418997371,,,,,,,,1
case,JAN 2022,202202,30-49,vax with updated booster,,,336801,11091017.1,,3036.700755,,,,,,,,,1
case,JAN 2022,202202,5-11,vaccinated,28906,2262294,185088,11394305,1277.729597,1624.39043,1.271310013,,,,,,,,0
case,JAN 2022,202202,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,JAN 2022,202202,50-64,vaccinated,231035,24942743,154053,5331009.65,926.261398,2889.752788,3.119802676,,,,,,,,1
case,JAN 2022,202202,50-64,vax with updated booster,,,154053,5331009.65,,2889.752788,,,,,,,,,1
case,JAN 2022,202202,65-79,vaccinated,104324,18379321.7,57628,1630996.3,567.6161596,3533.300474,6.224805996,,,,,,,,1
case,JAN 2022,202202,65-79,vax with updated booster,,,57628,1630996.3,,3533.300474,,,,,,,,,1
case,JAN 2022,202202,80+,vaccinated,28909,5298889,16813,765597.1,545.5671934,2196.0637,4.025285476,,,,,,,,1
case,JAN 2022,202202,80+,vax with updated booster,,,16813,765597.1,,2196.0637,,,,,,,,,1
case,JAN 2022,202202,all_ages,vaccinated,956253,94923230.7,821130,28635026.15,,,,1085.08102,2938.602858,2.708187502,941.1406264,2577.851086,2.739071094,,1
case,JAN 2022,202202,all_ages,vax with updated booster,,,821130,28635026.15,,,,,2938.602858,,,2577.851086,,,1
case,JAN 2022,202203,12-17,vaccinated,69549,6847837,98761,5232588,1015.634572,1887.421674,1.858366903,,,,,,,,0
case,JAN 2022,202203,12-17,vax with updated booster,,,98761,5232588,,1887.421674,,,,,,,,,0
case,JAN 2022,202203,18-29,vaccinated,149907,16269033,186610,9647560.45,921.4253853,1934.271373,2.099216501,,,,,,,,1
case,JAN 2022,202203,18-29,vax with updated booster,,,186610,9647560.45,,1934.271373,,,,,,,,,1
case,JAN 2022,202203,30-49,vaccinated,293839,30245007,263710,10906904.1,971.5289535,2417.826338,2.488681711,,,,,,,,1
case,JAN 2022,202203,30-49,vax with updated booster,,,263710,10906904.1,,2417.826338,,,,,,,,,1
case,JAN 2022,202203,5-11,vaccinated,26737,2468482,139901,11177541,1083.135303,1251.625917,1.155558232,,,,,,,,0
case,JAN 2022,202203,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,JAN 2022,202203,50-64,vaccinated,176917,25008715,124338,5251412.65,707.4213929,2367.705764,3.34695245,,,,,,,,1
case,JAN 2022,202203,50-64,vax with updated booster,,,124338,5251412.65,,2367.705764,,,,,,,,,1
case,JAN 2022,202203,65-79,vaccinated,87878,18401087.7,50103,1615091.3,477.569595,3102.177567,6.495760199,,,,,,,,1
case,JAN 2022,202203,65-79,vax with updated booster,,,50103,1615091.3,,3102.177567,,,,,,,,,1
case,JAN 2022,202203,80+,vaccinated,25945,5304709,15270,760210.1,489.0937467,2008.655239,4.106892088,,,,,,,,1
